close,signals
57174.95,0
57332.04,0
57448.97,0
57300.56,-1
57297.94,0
57329.36,1
57283.01,-1
57316.77,0
57193.49,-1
57184.99,1
57243.1,0
57271.74,0
57369.19,0
57597.76,0
57493.82,-1
57306.59,0
57355.0,1
57519.24,0
57500.51,-1
57272.65,0
57315.11,1
57720.96,0
57844.0,0
57862.75,-1
57879.99,0
57673.77,0
57726.96,1
57587.13,0
57748.56,1
57713.68,-1
57650.0,0
57582.13,0
57725.98,1
57714.51,0
57922.6,0
57963.17,0
58133.22,0
58300.0,0
58620.62,0
58586.94,-1
58459.44,0
58479.19,0
58454.03,0
58353.87,0
58220.01,0
58199.29,1
58281.17,0
58314.58,0
58253.53,-1
58192.5,0
58206.93,1
58180.78,-1
58111.23,0
58084.34,0
58121.96,0
58077.83,-1
58053.56,0
58119.99,0
58056.12,-1
57875.37,0
57668.39,0
57776.81,1
57796.39,0
57842.61,0
57903.1,0
57882.02,-1
57942.26,0
57990.95,0
58084.08,0
57896.5,-1
57949.99,1
58000.0,0
57900.01,-1
58015.44,1
57982.02,-1
57890.13,0
57850.34,1
57890.03,0
57833.01,-1
57900.0,0
57848.25,-1
57842.32,0
57838.99,0
57536.09,-1
57616.87,1
57538.27,0
57524.04,0
57611.27,0
57520.14,-1
57598.51,0
57548.61,-1
57677.9,0
57582.05,-1
57568.34,1
57626.69,0
57575.15,-1
57482.77,0
57584.01,1
57795.29,0
57779.03,-1
57968.34,0
57923.39,-1
58046.97,1
57909.92,-1
57831.45,0
57810.29,1
57708.68,0
57739.2,1
57698.0,0
57662.06,-1
57755.09,0
57759.97,0
57614.68,-1
57623.01,1
57424.79,-1
57523.53,1
57598.26,0
57607.97,0
57529.99,-1
57496.7,1
57425.73,0
57401.24,1
57384.3,0
57183.44,-1
57224.14,1
57330.29,0
57398.51,0
57379.54,-1
57511.78,0
57508.5,-1
57538.49,0
57455.92,0
57558.7,1
57465.42,-1
57373.39,0
57347.85,1
57343.62,0
57358.44,0
57400.0,0
57488.38,0
57465.91,-1
57396.87,0
57224.99,0
57290.1,1
57172.52,-1
57239.95,1
57161.96,-1
57059.73,0
57168.55,1
57069.39,-1
56984.1,0
56987.16,1
56930.27,-1
56870.28,0
57073.02,0
57045.3,0
57007.42,-1
57030.92,1
57061.11,0
57135.37,0
57175.71,0
57187.19,-1
57282.81,0
57128.78,-1
57226.1,1
57206.57,-1
57236.9,0
57299.21,0
57267.68,-1
57230.4,0
57279.94,1
57334.02,0
57240.58,-1
57273.37,1
57290.89,0
57339.12,0
57295.03,-1
57314.75,0
57318.25,-1
57469.97,0
57246.89,-1
56981.39,0
57042.07,1
57225.96,0
57432.93,0
57369.73,-1
57329.93,0
57273.87,0
57453.85,1
57433.49,-1
57398.87,0
57439.2,1
57461.02,0
57585.42,0
57701.06,0
57583.02,-1
57634.43,1
57700.78,0
57620.3,-1
57624.61,1
57634.92,0
57563.01,-1
57610.67,1
57560.0,-1
57583.61,0
57525.07,-1
57525.23,0
57517.5,0
57533.41,0
57593.85,0
57612.57,0
57705.7,0
57767.71,0
57666.01,-1
57632.92,0
57586.6,1
57600.16,0
57558.89,-1
57626.62,0
57571.25,-1
57547.93,0
57665.98,0
57643.22,-1
57607.98,0
