method,return_method,span,look,horizon,n,balance
semicovariance,ema_historical_return,300,83,7,34,0.11015223733816731
semicovariance,ema_historical_return,300,97,3,77,0.11011172431886115
semicovariance,ema_historical_return,300,89,4,59,0.10979483396446303
semicovariance,ema_historical_return,300,95,6,38,0.10945284903749633
semicovariance,ema_historical_return,300,85,6,40,0.10922214608881883
semicovariance,ema_historical_return,300,84,3,81,0.10922027752720544
semicovariance,ema_historical_return,300,91,6,39,0.10907045023597403
semicovariance,ema_historical_return,300,91,8,29,0.1086291112446011
semicovariance,ema_historical_return,300,98,3,76,0.10860705787492736
semicovariance,ema_historical_return,300,84,4,60,0.10801397728756272
semicovariance,ema_historical_return,300,88,7,33,0.10789185328084237
semicovariance,ema_historical_return,300,91,4,59,0.10787852908485132
semicovariance,ema_historical_return,300,83,8,30,0.1070263375141301
semicovariance,ema_historical_return,300,89,6,39,0.1062231133803204
semicovariance,ema_historical_return,300,92,4,58,0.10590796963135621
semicovariance,ema_historical_return,300,93,4,58,0.1032702948310348
semicovariance,ema_historical_return,300,83,3,81,0.1022897053302637
semicovariance,ema_historical_return,300,88,5,47,0.10159683192581116
semicovariance,ema_historical_return,300,89,3,79,0.10143373606202465
semicovariance,ema_historical_return,300,88,3,80,0.10100229425368984
semicovariance,ema_historical_return,300,83,6,40,0.1006287720576817
semicovariance,ema_historical_return,300,95,3,77,0.10030192404020935
semicovariance,ema_historical_return,300,93,5,46,0.10010950159768177
semicovariance,ema_historical_return,300,83,4,61,0.09969833626687385
semicovariance,ema_historical_return,300,82,3,82,0.0986778422502346
semicovariance,ema_historical_return,300,91,3,79,0.0976763331730948
semicovariance,ema_historical_return,300,85,4,60,0.09706029233636006
semicovariance,ema_historical_return,300,92,3,78,0.09639189307033111
semicovariance,ema_historical_return,300,94,3,78,0.0957072557961094
semicovariance,ema_historical_return,300,83,5,48,0.09389299469280118
semicovariance,ema_historical_return,300,86,3,80,0.0914805160372367
semicovariance,ema_historical_return,300,85,3,81,0.08943264861757957
